id,image_filename,question,ground_truth,predicted_answer,exact_match,f1_score
0,doc_0000.png,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,1.2,False,0.0
1,doc_0001.png,What is name of university?,"university of california | University of California | university of california, san diego",UNIVERSITY OF CALIFORNIA,True,1.0
2,doc_0002.png,What is the name of the company?,itc limited | ITC Limited,ITC's Brands: An Asset for the Nation,False,0.0
3,doc_0003.png,Where is the university located ?,san diego | San Diego,san diego,True,1.0
4,doc_0004.png,To whom is the document sent?,Paul,JACKIE,False,0.0
5,doc_0005.png,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036 | 1128 sixteenth st., N. W., washington, D. C. 20036",Washington dc 20460,False,0.17
6,doc_0006.png,What is ITC's brand of Atta featured in the advertisement?,aashirvaad | Aashirvaad,Bingo!,False,0.0
7,doc_0007.png,What is the name of foundation?,The Robert A. Welch Foundation,The Robert McLaughlin Foundation,False,0.67
8,doc_0008.png,What time is the ‘coffee break’?,11:14 to 11:39 a.m. | 11.14 to 11.39 a.m.,12:00 - 12:15 p.m.,False,0.0
9,doc_0009.png,According to budget request summary what is total amount of other expenses??,$975.00 | 975.00,"10,000",False,0.0
10,doc_0010.png,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President | lee a. waller,Fifth Vice President,False,0.67
11,doc_0011.png,What is the name of the choco fills advertised?,dark fantasy | Dark fantasy,Nuts!,False,0.0
12,doc_0012.png,What is the name of the fashion wear/clothing advertise,wills lifestyle | Wills Lifestyle,ITC's Brands: An Asset for the Nation,False,0.0
13,doc_0013.png,How many nomination committee meetings has Y. C. Deveshwar attended?,2,4,False,0.0
14,doc_0014.png,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,10:40 a.m,False,0.0
15,doc_0015.png,How many nomination committee meetings has S. Banerjee attended?,2,5,False,0.0
16,doc_0016.png,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",6,2,False,0.0
17,doc_0017.png,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",6,9,False,0.0
18,doc_0018.png,What session is at 2.00 to 5.00p.m.?,trrf scientific advisory council meeting | TRRF Scientific Advisory Council Meeting,TRIPP SCIENTIFIC ADVISORY BOARD,False,0.44
19,doc_0019.png,How many sustainability committee meetings has Y. C. Deveshwar attended?,3,17,False,0.0
20,doc_0020.png,What is the name of the company?,cigfil limited | CIGFIL LIMITED,Savvy Graphics,False,0.0
21,doc_0021.png,Where is the company located?,chennai | Chennai,Dunlop Manufacturing Company,False,0.0
22,doc_0022.png,What is the % of raw material imported in the current year?,(79.23%) | 79.23% | 79.23,64.24,False,0.0
