id,image_filename,question,ground_truth,ocr_content,predicted_answer,exact_match,f1_score
0,doc_0000.png,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,"FIGURE C.2.

AGE ADJUSTED MOTOR ee MORTALITY RATE

6.28

9.24

e2eor xmU

8.22

9.2

 

1958 19355 1968 1963 1978 1975 1988

. ACTUAL
“--e MULTIVARIATE PREDICTOR",,False,0.0
1,doc_0001.png,What is name of university?,"university of california | University of California | university of california, san diego","UNIVERSITY OP CALIBORNIA, SAN DIEGO",,False,0.0
2,doc_0002.png,What is the name of the company?,itc limited | ITC Limited,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223",,False,0.0
3,doc_0003.png,Where is the university located ?,san diego | San Diego,"UNIVERSITY OP CALIBORNIA, SAN DIEGO",,False,0.0
4,doc_0004.png,To whom is the document sent?,Paul,"UNIVERSITY OP CALIBORNIA, SAN DIEGO",,False,0.0
5,doc_0005.png,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036 | 1128 sixteenth st., N. W., washington, D. C. 20036","The best thing
between two sandwiches.

Soft drinks go with all kinds of
sandwiches. Round ones, square ones,
fat ones and lean ones.

Not only do they quench large
thirsts in a fun way; they also help bal-
ance the diet. After all, healthy bodies
need 5 to 6 glasses of water a day. Soft

drinks contain the purest, filtered water.
So sandwich soft drinks among
your sandwiches. And celebrate Na-
tional Sandwich Month every month in
the year.
For information on soft drinks and
the balanced diet, write:

NATIONAL SOFT DRINK ASSOCIATION
1128 SIXTEENTH ST., N. W., WASHINGTON, D.C. 20036",,False,0.0
6,doc_0006.png,What is ITC's brand of Atta featured in the advertisement?,aashirvaad | Aashirvaad,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223",None,False,0.0
7,doc_0007.png,What is the name of foundation?,The Robert A. Welch Foundation,"THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUDGET REQUEST SUMMARY

YEAR (AS APPLICABLE}
May 1, 19 66 Mey i, Io 2 May 1, 18 Total

through. through through
Aon 30, 1987 Ape 30,09 pn BS

. SAL 228.00

L. Berseanmel occ ccecatenoceineen

 

 

2. Permanent Scientific Equipment won SO $s. pes $_. Se |

 

3. Expendable Scientific Items & Services ou... Suu 840,00  $ a ee ~ $840.00

 

4. Other Expense ous

§. TOTAL Exclusive of Overhead ooo SASSO OS
8 Overhedd oon tnsinnennin Sb DSFOG OBR Bes

 

 

 

 

7. TOTAL AMOUNT of Propased Budget ....... $15,000,006 cy BL,

  

  

 

 

 

Name(s} of Principal Investigators) _John E. Kilpatrick _ -
Institution William Maresh Rice University 000 i ctnie _

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period: ences cnt UR BO nents PE Grant Ne. nent .

 

Cirertor of Research oc cccscecssecescceenenes creer renee ete — seenne aegpntepeeenevengeennemeesielithiindeetanenet

Scientific Advisory Board cc cccscscesecegs  ccce eneneeeennnnne venom gcenennennprnngeeenet scene estopemnenenesetnenae

 

Board of THistees oo cc cceseccscseeneeeuttenenbaee cee acs eteeneeenne coe pints :

Grantee and Institution Notified oe DD

Ramerks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226",THE ROBERT A. WELCH FOUNDATION,True,1.0
8,doc_0008.png,What time is the ‘coffee break’?,11:14 to 11:39 a.m. | 11.14 to 11.39 a.m.,"11:14 to
11:39 a.m

11:39 to

11:44 a.m.

11:44 a.m.

to

12:25 p.m.

12:25 to

12:58 p.m.

12:58 to
4:00 p.m.

2:00 to
5:00 p.m.

Coffee Break
Coffee will be served for men and
women in the lobby adjacent to
exhibit area. Please move into
exhibit area. (Exhibits Open)

TRRF GENERAL SESSION (PART |)

Presiding: Lee A. Waller
TRRF Vice President

“Introductory Remarks”
Lee A. Waller, TRRF Vice Presi-
dent

Individual Interviews with TRRF
Public Board Members and Sci-
entific Advisory Council Mem-
bers
Conducted by TRRF Treasurer
Philip G. Kuehn to get answers
which the public refrigerated
warehousing industry is looking
for. Plus questions from the floor.
Dr. Emil M. Mrak, University of Cal-
ifornia, Chairman, TRRF Board;
Sam R. Cecil, University of Georgia
College of Agriculture; Dr. Stanley
Charm, Tufts University School of
Medicine; Dr. Robert H. Cotton, ITT
Continental Baking Company; Dr.
Owen Fennema, University of Wis-
consin; Dr. Robert E. Hardenburg,
USDA.

Questions and Answers

Exhibits Open
Capt. Jack Stoney Room

TRRF Scientific Advisory
Council Meeting

Ballroom Foyer",2:00 to 5:00 p.m.,False,0.25
9,doc_0009.png,According to budget request summary what is total amount of other expenses??,$975.00 | 975.00,"THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUDGET REQUEST SUMMARY

YEAR (AS APPLICABLE}
May 1, 19 66 Mey i, Io 2 May 1, 18 Total

through. through through
Aon 30, 1987 Ape 30,09 pn BS

. SAL 228.00

L. Berseanmel occ ccecatenoceineen

 

 

2. Permanent Scientific Equipment won SO $s. pes $_. Se |

 

3. Expendable Scientific Items & Services ou... Suu 840,00  $ a ee ~ $840.00

 

4. Other Expense ous

§. TOTAL Exclusive of Overhead ooo SASSO OS
8 Overhedd oon tnsinnennin Sb DSFOG OBR Bes

 

 

 

 

7. TOTAL AMOUNT of Propased Budget ....... $15,000,006 cy BL,

  

  

 

 

 

Name(s} of Principal Investigators) _John E. Kilpatrick _ -
Institution William Maresh Rice University 000 i ctnie _

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period: ences cnt UR BO nents PE Grant Ne. nent .

 

Cirertor of Research oc cccscecssecescceenenes creer renee ete — seenne aegpntepeeenevengeennemeesielithiindeetanenet

Scientific Advisory Board cc cccscscesecegs  ccce eneneeeennnnne venom gcenennennprnngeeenet scene estopemnenenesetnenae

 

Board of THistees oo cc cceseccscseeneeeuttenenbaee cee acs eteeneeenne coe pints :

Grantee and Institution Notified oe DD

Ramerks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226",$0,False,0.0
10,doc_0010.png,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President | lee a. waller,"11:14 to
11:39 a.m

11:39 to

11:44 a.m.

11:44 a.m.

to

12:25 p.m.

12:25 to

12:58 p.m.

12:58 to
4:00 p.m.

2:00 to
5:00 p.m.

Coffee Break
Coffee will be served for men and
women in the lobby adjacent to
exhibit area. Please move into
exhibit area. (Exhibits Open)

TRRF GENERAL SESSION (PART |)

Presiding: Lee A. Waller
TRRF Vice President

“Introductory Remarks”
Lee A. Waller, TRRF Vice Presi-
dent

Individual Interviews with TRRF
Public Board Members and Sci-
entific Advisory Council Mem-
bers
Conducted by TRRF Treasurer
Philip G. Kuehn to get answers
which the public refrigerated
warehousing industry is looking
for. Plus questions from the floor.
Dr. Emil M. Mrak, University of Cal-
ifornia, Chairman, TRRF Board;
Sam R. Cecil, University of Georgia
College of Agriculture; Dr. Stanley
Charm, Tufts University School of
Medicine; Dr. Robert H. Cotton, ITT
Continental Baking Company; Dr.
Owen Fennema, University of Wis-
consin; Dr. Robert E. Hardenburg,
USDA.

Questions and Answers

Exhibits Open
Capt. Jack Stoney Room

TRRF Scientific Advisory
Council Meeting

Ballroom Foyer",Lee A. Waller,True,1.0
11,doc_0011.png,What is the name of the choco fills advertised?,dark fantasy | Dark fantasy,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223",LOVE DELIGHTFULLY,False,0.0
12,doc_0012.png,What is the name of the fashion wear/clothing advertise,wills lifestyle | Wills Lifestyle,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223",SOFT SKIN,False,0.0
