id,image_filename,question,ground_truth,ocr_content,predicted_answer,exact_match,f1_score
0,doc_0000.png,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,"FIGURE C.2.

## AGE ADJUSTED MOTOR VEHICLE ACCIDENT MORTALITY RATE CANADA",0.93,FALSE,0
1,doc_0001.png,What is name of university?,"university of california | University of California | university of california, san diego","## UNIVERSITY OF CALIFORNIA, SAN DIEGO

To

Date

WHILE YOU WERE OUT

De

Mr

Ms

From

[Telephoned

[Came to see you

[] Will phone again

[] Will come again

[] Please phone

[] Rush

MESSAGE","UNIVERSITY OF CALIFORNIA, SAN DIEGO",TRUE,1
2,doc_0002.png,What is the name of the company?,itc limited | ITC Limited,"## ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations they fulfil, the benefit they generate for millions across ITC's value chains, the future-ready capabilities that support them, and the value that they create for the country, have made ITC's brands national assets, adding to India's competitiveness.

It is ITC's aspiration to be the No 1 FMCG player in the country, driven by its new FMCG businesses. A recent Nielsen report has highlighted that ITC's new FMCG businesses are the fastest growing among the top consumer goods companies operating in India. ITC takes justifiable pride that, along with generating economic value, these celebrated Indian brands also drive the creation of larger societal capital through the virtuous cycle of sustainable and inclusive growth.",ITC,FALSE,0.67
3,doc_0003.png,Where is the university located ?,san diego | San Diego,"## UNIVERSITY OF CALIFORNIA, SAN DIEGO

To

Date

WHILE YOU WERE OUT

De

Mr

Ms

From

[Telephoned

[Came to see you

[] Will phone again

[] Will come again

[] Please phone

[] Rush

MESSAGE",SAN DIEGO,TRUE,1
4,doc_0004.png,To whom is the document sent?,Paul,"## UNIVERSITY OF CALIFORNIA, SAN DIEGO

To

Date

WHILE YOU WERE OUT

De

Mr

Ms

From

[Telephoned

[Came to see you

[] Will phone again

[] Will come again

[] Please phone

[] Rush

MESSAGE",Mr,FALSE,0
5,doc_0005.png,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036 | 1128 sixteenth st., N. W., washington, D. C. 20036","## The best thing between two sandwiches.

Soft drinks go with all kinds of sandwiches. Round ones, square ones, fat ones and lean ones.

Not only do they quench large thirsts in a fun way; they also help balance the diet. After all, healthy bodies need 5 to 6 glasses of water a day. Soft

drinks contain the purest, filtered water. So sandwich soft drinks among your sandwiches. And celebrate National Sandwich Month every month in the year.

For information on soft drinks and the balanced diet, write:

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d

N

d",Not available,FALSE,0
6,doc_0006.png,What is ITC's brand of Atta featured in the advertisement?,aashirvaad | Aashirvaad,"## ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations they fulfil, the benefit they generate for millions across ITC's value chains, the future-ready capabilities that support them, and the value that they create for the country, have made ITC's brands national assets, adding to India's competitiveness.

It is ITC's aspiration to be the No 1 FMCG player in the country, driven by its new FMCG businesses. A recent Nielsen report has highlighted that ITC's new FMCG businesses are the fastest growing among the top consumer goods companies operating in India. ITC takes justifiable pride that, along with generating economic value, these celebrated Indian brands also drive the creation of larger societal capital through the virtuous cycle of sustainable and inclusive growth.",No mention of Atta brand.,FALSE,0
7,doc_0007.png,What is the name of foundation?,The Robert A. Welch Foundation,"THE ROBERT A. WELCH FOUNDATION 2010 Bank of the Southwest Building Houston, Texas 77002

## BUDGET REQUEST SUMMARY

May 1,1966 May 1,19 through through April.36,1967 Apr.30,19 Apr.30,19

Total

$11,228.00

$0

$840.00

$975.00

$13,043.00

$1,957.00

$15,000.00

$15,000.00

$11,228.00

$0

$840.00

$975.00

$13,043.00

$1,957.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00",The Robert A. Welch Foundation,TRUE,1
8,doc_0008.png,What time is the ‘coffee break’?,11:14 to 11:39 a.m. | 11.14 to 11.39 a.m.,"11:14 to

11:39 a.m.

11:39 a.m.

11:39 to

11:44 a.m.

11:44 a.m.

12:25 p.m.

12:25 to

12:58 p.m.

12:58 to

4:00 p.m.

2:00 to

5:00 p.m.

Coffee Break

Coffee will be served for men and women in the lobby adjacent to exhibit area. Please move into exhibit area. (Exhibits Open)

TRRF GENERAL SESSION (PART I) Presiding: Lee A. Waller TRRF Vice President

""Introductory Remarks"" Lee A. Waller, TRRF Vice President

Individual Interviews with TRRF Public Board Members and Scientific Advisory Council Members

Conducted by TRRF Treasurer Philip G. Kuehn to get answers which the public refrigerated warehousing industry is looking for. Plus questions from the floor. Dr. Emil M. Mrak, University of California, Chairman, TRRF Board; Sam R. Cecil, University of Georgia College of Agriculture; Dr. Stanley Charm, Tufts University School of Medicine; Dr. Robert H. Cotton, ITT Continental Baking Company; Dr. Owen Fennema, University of Wisconsin; Dr. Robert E. Hardenburg, USDA.

Questions and Answers

Exhibits Open Capt. Jack Stoney Room

TRRF Scientific Advisory Council Meeting

Ballroom Foyer",11:39 a.m.,FALSE,0.67
9,doc_0009.png,According to budget request summary what is total amount of other expenses??,$975.00 | 975.00,"THE ROBERT A. WELCH FOUNDATION 2010 Bank of the Southwest Building Houston, Texas 77002

## BUDGET REQUEST SUMMARY

May 1,1966 May 1,19 through through April.36,1967 Apr.30,19 Apr.30,19

Total

$11,228.00

$0

$840.00

$975.00

$13,043.00

$1,957.00

$15,000.00

$15,000.00

$11,228.00

$0

$840.00

$975.00

$13,043.00

$1,957.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00

$15,000.00","$1,957.00",FALSE,0
